rxn,p(gender),p(genotype),p(diet),"p(gender,genotype)","p(gender,diet)","p(genotype,diet)","p(gender,genotype,diet)"
EX_lys__L_e_b,0.5690799951675936,0.569079995167592,0.7197958201909995,0.09609990712790022,0.024733014315525853,0.024733014315525808,0.06871947673599982
EX_lys__L_e_f,0.5690799951675936,0.569079995167592,0.7197958201909995,0.09609990712790022,0.024733014315525853,0.024733014315525808,0.06871947673599982
EX_lysargleu_e_b,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_lysargleu_e_f,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_lyscyshis_e_b,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_lyscyshis_e_f,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_lysglnphe_e_b,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_lysglnphe_e_f,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_lysgluglu_e_b,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_lysgluglu_e_f,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_lyslyslys_e_b,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_lyslyslys_e_f,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_lyspheile_e_b,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_lyspheile_e_f,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
